               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,             0.02172,             0.02044,           0.0039213,             0.91994,             0.83314,             0.92173,             0.71715,            0.030771,           0.0072459,           0.0065687,            0.004786,            0.004786,            0.004786
                  81,            0.021672,            0.020047,           0.0038349,             0.92184,             0.86797,             0.91973,             0.72307,            0.031435,           0.0069099,           0.0068739,             0.00472,             0.00472,             0.00472
                  82,            0.021058,            0.021207,           0.0040655,             0.85766,             0.90687,             0.90468,             0.69931,            0.030743,           0.0068086,           0.0081849,            0.004654,            0.004654,            0.004654
                  83,             0.02072,            0.020738,           0.0040076,             0.92787,             0.89389,              0.9174,             0.73958,            0.030385,           0.0070845,           0.0057371,            0.004588,            0.004588,            0.004588
                  84,            0.021237,            0.020896,            0.004429,             0.89545,             0.88615,             0.92676,             0.71578,            0.029211,            0.006868,           0.0063263,            0.004522,            0.004522,            0.004522
                  85,            0.021394,            0.020624,           0.0040519,             0.92357,             0.87242,             0.92004,             0.71872,            0.030323,            0.006733,           0.0046951,            0.004456,            0.004456,            0.004456
                  86,            0.021155,            0.020688,           0.0039083,             0.90879,             0.88928,             0.93417,             0.73296,            0.029087,            0.006772,           0.0032418,             0.00439,             0.00439,             0.00439
                  87,            0.021377,            0.021168,           0.0037137,             0.90742,              0.8809,             0.92268,             0.73844,            0.028192,           0.0067537,           0.0017217,            0.004324,            0.004324,            0.004324
                  88,            0.020775,            0.020013,           0.0039846,             0.90493,             0.85604,             0.91796,             0.72874,            0.029028,            0.007155,           0.0020953,            0.004258,            0.004258,            0.004258
                  89,            0.020523,            0.019651,           0.0042793,             0.93707,             0.86354,              0.9112,             0.71594,            0.030882,           0.0071034,            0.003041,            0.004192,            0.004192,            0.004192
                  90,            0.020653,            0.020452,           0.0041591,             0.94095,             0.87071,             0.92789,             0.72846,            0.028623,           0.0064266,           0.0037256,            0.004126,            0.004126,            0.004126
                  91,            0.020756,            0.020904,           0.0038422,             0.90824,             0.91831,              0.9299,               0.737,             0.02854,           0.0066062,           0.0024225,             0.00406,             0.00406,             0.00406
                  92,            0.020135,            0.020579,           0.0037379,             0.92672,             0.88627,             0.91375,             0.72588,             0.03039,           0.0066975,           0.0031416,            0.003994,            0.003994,            0.003994
                  93,            0.020318,            0.020678,           0.0039211,              0.9108,             0.90575,             0.93689,             0.74885,            0.028135,           0.0065812,           0.0060543,            0.003928,            0.003928,            0.003928
                  94,            0.020215,            0.019927,           0.0039408,             0.91454,             0.88524,             0.94631,             0.72611,            0.029951,            0.006335,           0.0060795,            0.003862,            0.003862,            0.003862
                  95,            0.020027,            0.019626,           0.0038659,             0.90812,             0.89806,             0.94474,             0.73164,            0.029224,           0.0064404,           0.0088799,            0.003796,            0.003796,            0.003796
                  96,             0.02009,             0.01986,           0.0037277,             0.91769,             0.88471,              0.9424,             0.73496,            0.029364,           0.0065537,           0.0094128,             0.00373,             0.00373,             0.00373
                  97,            0.020051,            0.019716,           0.0039403,             0.88103,             0.89806,             0.94353,             0.75514,            0.030629,           0.0067544,           0.0095122,            0.003664,            0.003664,            0.003664
                  98,            0.019926,            0.019081,           0.0036082,             0.93946,              0.8596,             0.93357,             0.73726,            0.031672,           0.0064964,           0.0086512,            0.003598,            0.003598,            0.003598
                  99,            0.019982,            0.019762,           0.0037585,             0.91568,              0.9237,             0.95134,             0.75627,            0.029434,           0.0060579,           0.0088002,            0.003532,            0.003532,            0.003532
                 100,            0.019387,            0.019693,           0.0038475,             0.91913,              0.9046,             0.93497,             0.75524,            0.028132,           0.0062499,           0.0047427,            0.003466,            0.003466,            0.003466
                 101,             0.01937,            0.019264,           0.0036605,             0.90076,             0.90585,             0.93011,             0.75284,            0.029262,           0.0061629,           0.0038334,              0.0034,              0.0034,              0.0034
