               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.024815,            0.022741,           0.0044164,             0.87444,             0.87242,             0.89653,             0.64184,            0.037896,           0.0080545,           0.0038099,            0.007855,            0.007855,            0.007855
                  67,            0.025475,            0.023689,           0.0046523,             0.83268,             0.91259,              0.9102,             0.67519,            0.035116,           0.0074467,           0.0041299,            0.007822,            0.007822,            0.007822
                  68,            0.024691,            0.022969,           0.0042118,             0.88551,             0.92112,             0.93469,              0.6664,            0.032051,           0.0068253,           0.0021096,            0.007789,            0.007789,            0.007789
                  69,            0.023828,            0.022309,           0.0042558,             0.83324,             0.85342,              0.8907,             0.65033,            0.033111,           0.0074686,           0.0021659,            0.007756,            0.007756,            0.007756
                  70,            0.025093,            0.023012,           0.0044362,             0.86021,             0.91536,             0.90962,             0.67428,            0.033817,           0.0075483,           0.0019969,            0.007723,            0.007723,            0.007723
                  71,             0.02517,            0.022583,           0.0042926,             0.92089,             0.85883,             0.92143,             0.70114,            0.030868,           0.0068646,           0.0044245,             0.00769,             0.00769,             0.00769
                  72,            0.023888,            0.022444,           0.0045151,             0.88221,             0.91607,             0.92502,              0.7046,            0.033256,           0.0073249,           0.0039659,            0.007657,            0.007657,            0.007657
                  73,            0.023554,             0.02274,           0.0041346,             0.91779,             0.88104,             0.91898,             0.69099,            0.033997,           0.0068525,           0.0026287,            0.007624,            0.007624,            0.007624
                  74,            0.023327,            0.021439,           0.0043811,             0.86953,             0.89213,              0.9046,             0.67407,            0.036327,            0.007896,           0.0017134,            0.007591,            0.007591,            0.007591
                  75,            0.023839,            0.022442,           0.0043226,             0.84043,             0.94239,             0.92375,             0.67389,            0.033028,            0.007399,           0.0019512,            0.007558,            0.007558,            0.007558
